MPEG-7 Color Layout0,MPEG-7 Color Layout1,MPEG-7 Color Layout2,MPEG-7 Color Layout3,MPEG-7 Color Layout4,MPEG-7 Color Layout5,MPEG-7 Color Layout6,MPEG-7 Color Layout7,MPEG-7 Color Layout8,MPEG-7 Color Layout9,MPEG-7 Color Layout10,MPEG-7 Color Layout11,MPEG-7 Color Layout12,MPEG-7 Color Layout13,MPEG-7 Color Layout14,MPEG-7 Color Layout15,MPEG-7 Color Layout16,MPEG-7 Color Layout17,MPEG-7 Color Layout18,MPEG-7 Color Layout19,MPEG-7 Color Layout20,MPEG-7 Color Layout21,MPEG-7 Color Layout22,MPEG-7 Color Layout23,MPEG-7 Color Layout24,MPEG-7 Color Layout25,MPEG-7 Color Layout26,MPEG-7 Color Layout27,MPEG-7 Color Layout28,MPEG-7 Color Layout29,MPEG-7 Color Layout30,MPEG-7 Color Layout31,MPEG-7 Color Layout32,class
49,14,27,25,16,15,16,15,16,6,18,17,16,15,16,15,15,15,15,15,13,15,15,22,25,15,15,35,15,17,16,16,15,BACTERIAL_LEAF_BLIGHT
51,21,24,26,17,15,16,15,12,8,19,11,15,16,16,15,15,14,16,15,12,14,20,19,27,18,16,36,16,15,15,15,16,BACTERIAL_LEAF_BLIGHT
51,18,15,29,12,15,16,16,15,17,11,20,16,15,16,16,15,15,15,14,14,14,18,15,27,13,15,35,15,15,16,16,15,BACTERIAL_LEAF_BLIGHT
53,19,18,27,18,16,16,15,13,12,12,12,15,17,15,15,15,15,16,14,17,17,20,15,26,17,16,36,16,15,14,15,15,BACTERIAL_LEAF_BLIGHT
52,19,17,28,13,15,16,15,14,13,9,20,16,15,15,16,16,15,16,14,16,16,17,16,26,14,15,36,16,16,16,16,15,BACTERIAL_LEAF_BLIGHT
51,18,18,28,16,15,16,15,15,11,9,15,16,16,16,16,15,16,17,14,18,16,17,16,26,16,15,37,16,16,17,16,15,BACTERIAL_LEAF_BLIGHT
54,20,22,25,14,15,16,15,11,7,16,17,16,16,16,15,15,15,16,17,19,20,19,19,24,15,16,37,16,15,14,15,15,BACTERIAL_LEAF_BLIGHT
49,15,26,26,18,14,16,15,15,8,12,18,15,16,15,16,15,16,15,16,11,11,14,24,28,16,15,35,16,16,15,16,16,BACTERIAL_LEAF_BLIGHT
51,14,21,28,13,15,15,16,19,7,12,19,15,15,16,16,16,16,16,13,19,17,15,17,25,15,15,36,16,15,16,15,15,BACTERIAL_LEAF_BLIGHT
50,14,17,28,20,15,15,15,15,15,15,12,15,16,16,15,16,16,17,17,15,12,16,14,28,19,15,37,15,16,14,15,15,BACTERIAL_LEAF_BLIGHT
49,20,19,29,20,16,16,15,12,11,15,10,14,16,15,16,15,15,15,15,16,16,18,16,25,18,15,34,16,15,17,16,16,BACTERIAL_LEAF_BLIGHT
46,17,21,29,16,15,16,16,15,12,16,15,16,16,16,16,15,15,15,15,11,12,16,18,27,16,15,36,15,15,17,16,15,BACTERIAL_LEAF_BLIGHT
49,18,22,28,15,16,16,15,14,10,16,15,15,15,16,15,16,16,16,14,12,11,17,18,28,15,17,36,17,16,15,15,16,BACTERIAL_LEAF_BLIGHT
51,18,18,28,13,15,16,15,15,14,12,18,15,15,16,16,16,16,17,14,14,13,17,15,28,13,15,38,16,16,15,16,15,BACTERIAL_LEAF_BLIGHT
49,18,22,29,15,15,16,15,16,7,12,15,16,16,16,15,16,15,16,14,16,14,17,19,26,15,15,35,15,16,17,15,15,BACTERIAL_LEAF_BLIGHT
45,17,24,29,17,16,15,16,15,11,18,13,15,16,16,16,16,16,15,15,10,12,17,19,27,16,16,34,16,16,17,16,16,BACTERIAL_LEAF_BLIGHT
52,14,22,27,16,15,15,16,17,6,13,17,14,16,15,15,16,15,15,14,20,17,14,18,25,16,16,36,15,16,16,15,16,BACTERIAL_LEAF_BLIGHT
55,19,18,25,15,16,17,15,13,9,11,18,15,15,15,16,16,14,16,15,20,19,17,17,24,15,17,38,16,15,15,16,16,BACTERIAL_LEAF_BLIGHT
52,18,21,28,15,15,15,16,15,7,12,16,16,16,16,16,15,16,15,15,17,13,17,19,28,16,15,37,16,15,15,15,15,BACTERIAL_LEAF_BLIGHT
50,17,25,27,15,14,16,16,15,6,16,15,16,16,16,15,15,15,16,15,11,13,16,22,26,15,15,37,16,15,14,15,15,BACTERIAL_LEAF_BLIGHT
52,20,20,28,13,15,16,16,13,8,9,18,15,15,15,16,16,15,16,14,18,18,17,18,24,15,15,36,16,15,17,15,16,BACTERIAL_LEAF_BLIGHT
48,12,22,28,18,15,15,14,15,9,12,14,16,16,16,16,15,16,18,20,13,15,12,18,26,17,15,36,15,16,16,16,15,BACTERIAL_LEAF_BLIGHT
50,17,21,28,15,16,15,15,16,9,15,15,16,15,15,15,15,16,16,14,16,13,17,18,27,15,16,36,16,15,16,16,16,BACTERIAL_LEAF_BLIGHT
51,19,19,27,10,15,16,16,15,13,13,21,14,15,16,16,15,15,17,14,14,12,17,17,27,11,15,40,16,16,12,16,16,BACTERIAL_LEAF_BLIGHT
50,21,16,28,13,16,16,17,12,18,14,19,14,16,15,15,16,15,16,12,13,14,19,15,26,13,16,38,17,16,15,16,16,BACTERIAL_LEAF_BLIGHT
53,20,16,28,14,15,16,16,13,16,10,17,15,15,15,16,16,15,15,13,14,15,18,15,25,15,15,37,16,15,15,16,15,BACTERIAL_LEAF_BLIGHT
57,21,15,28,15,15,16,16,10,18,6,17,16,16,16,16,15,15,15,18,13,25,16,15,24,15,16,32,15,16,15,15,15,BACTERIAL_LEAF_BLIGHT
58,19,15,26,15,16,15,16,11,16,7,18,15,15,16,16,15,16,15,19,15,28,17,16,20,15,16,31,16,16,16,16,16,BACTERIAL_LEAF_BLIGHT
55,24,19,27,21,15,15,14,8,13,17,10,13,17,16,16,15,15,17,15,15,20,20,18,24,19,15,29,18,14,18,17,16,BACTERIAL_LEAF_BLIGHT
53,18,23,25,16,15,16,15,12,6,17,15,15,15,15,15,15,16,16,18,20,17,17,19,25,16,16,37,16,15,15,15,16,BACTERIAL_LEAF_BLIGHT
52,16,15,27,18,17,18,15,14,16,9,10,13,16,17,15,15,14,16,17,16,19,16,16,24,17,16,37,15,16,16,16,16,BACTERIAL_LEAF_BLIGHT
51,18,13,27,17,20,17,17,14,20,9,12,12,15,16,16,15,13,13,16,15,19,17,14,24,17,18,37,15,16,16,15,16,BACTERIAL_LEAF_BLIGHT
52,18,18,28,14,15,16,15,14,11,8,18,15,15,16,16,15,16,16,13,16,15,18,16,27,15,15,36,16,16,16,15,15,BACTERIAL_LEAF_BLIGHT
47,11,9,29,17,15,15,16,17,24,12,11,15,16,15,15,16,16,15,18,15,14,13,14,27,17,16,35,15,15,16,15,15,BACTERIAL_LEAF_BLIGHT
50,14,12,28,17,14,15,15,17,17,16,14,17,16,15,15,16,15,16,16,20,14,14,16,28,16,16,36,15,16,14,15,15,BACTERIAL_LEAF_BLIGHT
53,10,13,27,17,16,15,16,20,21,13,13,14,16,15,15,16,16,15,15,13,16,12,15,26,18,16,37,15,16,14,15,16,BACTERIAL_LEAF_BLIGHT
48,12,6,26,16,17,15,17,16,21,18,12,16,15,16,16,16,16,17,17,21,12,12,11,27,17,17,38,15,15,14,15,15,BACTERIAL_LEAF_BLIGHT
52,13,10,28,16,15,15,16,20,24,10,13,15,15,16,15,16,16,15,12,13,16,14,13,26,16,17,37,15,15,15,16,16,BACTERIAL_LEAF_BLIGHT
52,13,9,27,17,16,15,16,21,25,12,14,15,15,16,16,16,16,14,11,12,18,14,13,24,16,17,37,15,16,15,16,16,BACTERIAL_LEAF_BLIGHT
49,13,10,28,17,16,15,15,17,24,13,14,15,16,16,16,16,16,16,16,13,15,14,14,26,16,15,36,15,15,17,15,16,BACTERIAL_LEAF_BLIGHT
49,17,4,25,16,15,15,16,15,25,18,17,16,16,16,16,16,16,16,17,18,15,16,9,25,15,15,35,16,15,16,16,15,BACTERIAL_LEAF_BLIGHT
51,10,7,26,17,15,15,16,19,23,20,12,15,16,16,16,16,17,15,16,20,14,11,12,26,18,15,36,16,16,15,16,16,BACTERIAL_LEAF_BLIGHT
51,13,15,29,12,15,15,15,16,15,11,20,16,15,16,16,16,16,16,17,17,14,13,16,27,13,15,35,16,16,16,15,15,BACTERIAL_LEAF_BLIGHT
53,12,13,27,18,16,15,16,18,19,12,12,15,17,15,16,16,16,15,17,14,17,11,16,26,17,16,36,15,16,14,15,15,BACTERIAL_LEAF_BLIGHT
52,12,14,28,13,15,15,16,17,18,9,20,16,15,15,15,16,16,15,17,15,16,14,15,26,14,15,36,16,15,16,15,15,BACTERIAL_LEAF_BLIGHT
51,13,13,28,16,15,15,16,16,21,9,15,16,15,16,16,16,15,14,17,13,16,14,15,26,16,15,37,16,16,17,16,15,BACTERIAL_LEAF_BLIGHT
54,11,9,25,14,15,16,16,20,25,16,17,16,16,15,16,16,16,15,14,12,20,12,12,24,15,16,37,15,16,14,15,15,BACTERIAL_LEAF_BLIGHT
49,16,5,26,18,14,15,17,16,23,12,18,15,16,15,15,16,15,16,15,20,11,17,7,27,16,15,35,15,16,15,16,16,BACTERIAL_LEAF_BLIGHT
51,17,10,28,13,15,16,15,12,24,12,19,15,15,16,15,16,15,15,18,12,17,16,14,25,15,15,36,15,16,16,15,15,BACTERIAL_LEAF_BLIGHT
50,17,14,28,20,15,16,16,16,17,15,12,15,16,16,16,15,15,14,14,17,12,15,17,28,19,15,37,16,15,14,15,15,BACTERIAL_LEAF_BLIGHT
49,11,12,28,20,16,15,16,19,20,15,10,14,16,15,15,16,16,16,16,16,16,13,15,25,18,15,34,15,16,17,16,16,BACTERIAL_LEAF_BLIGHT
46,14,10,29,16,15,15,15,16,19,16,15,16,16,16,16,16,16,16,16,20,12,15,13,27,16,15,36,16,16,17,16,15,BACTERIAL_LEAF_BLIGHT
49,13,9,28,15,16,15,16,17,21,16,15,16,15,16,16,15,15,15,17,19,11,14,13,28,15,17,36,14,15,15,15,16,BACTERIAL_LEAF_BLIGHT
51,13,13,28,13,15,16,16,16,18,12,18,15,15,16,15,15,15,15,17,17,13,14,16,28,13,15,38,15,15,15,16,15,BACTERIAL_LEAF_BLIGHT
49,13,9,29,15,15,15,16,15,24,12,15,16,16,16,16,16,16,15,17,15,14,14,12,26,15,15,35,16,15,17,15,15,BACTERIAL_LEAF_BLIGHT
45,14,7,28,17,16,16,16,16,20,18,13,15,16,16,15,15,15,16,16,22,12,14,12,27,16,16,34,15,15,17,16,16,BACTERIAL_LEAF_BLIGHT
52,17,9,27,16,15,16,15,14,25,14,17,14,16,15,16,15,16,16,17,11,17,17,13,25,16,16,36,16,15,16,15,16,BACTERIAL_LEAF_BLIGHT
55,12,13,25,15,16,15,16,18,22,11,18,15,15,15,15,15,16,15,16,11,19,14,14,24,15,17,38,15,16,15,16,16,BACTERIAL_LEAF_BLIGHT
52,13,10,28,15,15,16,15,16,24,12,16,16,16,16,15,16,15,16,16,14,13,14,12,28,16,15,37,15,16,15,15,15,BACTERIAL_LEAF_BLIGHT
50,15,6,27,15,14,15,15,16,25,16,15,16,16,16,16,16,16,16,16,20,13,15,9,26,15,15,37,16,16,14,16,15,BACTERIAL_LEAF_BLIGHT
52,11,10,28,13,15,15,15,18,24,9,18,15,15,15,15,15,16,15,17,13,18,14,13,24,15,15,36,15,16,17,15,16,BACTERIAL_LEAF_BLIGHT
48,19,9,28,18,15,16,17,16,22,12,15,16,15,16,15,16,15,14,11,18,15,19,13,26,17,15,36,16,15,16,16,15,BACTERIAL_LEAF_BLIGHT
50,14,10,28,15,16,16,16,16,22,15,15,16,15,15,16,16,15,15,17,15,13,14,13,27,15,16,36,16,16,16,16,16,BACTERIAL_LEAF_BLIGHT
51,12,12,27,10,15,15,15,16,18,13,21,14,15,16,15,16,16,15,17,17,12,14,13,27,11,15,40,15,16,12,16,16,BACTERIAL_LEAF_BLIGHT
50,10,15,28,13,16,15,14,19,13,14,19,14,16,15,16,15,16,15,19,18,14,12,16,26,13,16,38,14,15,15,16,16,BACTERIAL_LEAF_BLIGHT
53,11,15,28,14,15,15,15,18,15,10,17,15,15,15,16,15,16,17,18,17,15,13,16,25,15,15,37,15,16,15,16,15,BACTERIAL_LEAF_BLIGHT
57,10,16,28,15,15,15,15,21,14,6,17,16,16,16,15,16,16,16,13,17,25,15,16,24,15,16,32,16,16,15,15,15,BACTERIAL_LEAF_BLIGHT
58,12,16,26,15,16,16,15,20,15,7,18,15,15,16,16,16,15,16,13,16,28,15,16,20,15,16,31,15,16,16,16,16,BACTERIAL_LEAF_BLIGHT
55,7,12,27,21,15,16,17,23,18,17,11,13,17,16,15,16,16,14,16,16,20,12,13,24,19,15,29,13,17,18,16,15,BACTERIAL_LEAF_BLIGHT
53,13,8,25,16,15,15,16,19,26,17,15,15,15,15,16,16,16,15,13,12,17,14,12,25,16,16,37,16,16,15,15,16,BACTERIAL_LEAF_BLIGHT
53,18,8,25,15,15,16,16,12,26,17,16,15,16,15,15,16,16,15,18,12,17,17,12,25,15,16,37,16,16,15,16,16,BACTERIAL_LEAF_BLIGHT
55,24,12,27,10,15,15,17,8,18,17,21,13,14,16,16,16,15,14,15,16,20,20,13,24,12,15,29,18,17,18,15,15,BACTERIAL_LEAF_BLIGHT
58,19,16,26,16,16,15,15,11,15,7,13,15,16,16,15,16,16,16,18,16,28,16,16,20,16,16,31,16,16,16,15,16,BACTERIAL_LEAF_BLIGHT
57,21,16,28,16,15,16,15,10,14,6,14,16,15,16,16,16,15,16,18,17,25,16,16,24,16,16,32,15,16,15,16,15,BACTERIAL_LEAF_BLIGHT
53,20,15,28,17,15,16,15,13,15,10,14,15,16,15,16,15,15,17,13,17,15,18,16,25,16,15,37,16,16,15,16,15,BACTERIAL_LEAF_BLIGHT
50,21,15,28,18,16,16,14,13,13,14,12,14,15,15,15,15,15,15,13,18,14,19,16,26,18,16,38,17,15,15,15,16,BACTERIAL_LEAF_BLIGHT
51,19,12,27,21,15,16,15,15,18,13,10,14,16,16,16,16,15,15,14,17,12,17,14,27,20,15,40,16,16,12,15,16,BACTERIAL_LEAF_BLIGHT
50,17,10,28,16,16,15,16,16,22,15,16,16,16,15,15,16,16,15,14,15,13,17,13,27,16,15,36,15,16,16,15,16,BACTERIAL_LEAF_BLIGHT
48,12,9,28,13,15,15,17,15,22,12,17,16,16,16,16,16,16,13,20,18,15,12,13,26,14,15,36,15,15,16,15,16,BACTERIAL_LEAF_BLIGHT
52,20,11,28,18,15,16,15,13,24,9,13,15,16,15,16,15,15,15,14,13,18,17,13,24,16,15,36,16,16,17,16,16,BACTERIAL_LEAF_BLIGHT
50,16,6,27,16,14,16,15,15,25,16,16,16,15,16,15,16,15,15,15,20,13,16,9,26,16,15,37,16,16,14,16,15,BACTERIAL_LEAF_BLIGHT
52,18,10,28,16,15,15,15,15,24,12,16,16,15,16,16,16,16,16,15,14,13,17,12,28,15,15,37,16,16,15,16,15,BACTERIAL_LEAF_BLIGHT
55,19,13,25,16,16,17,16,13,22,11,13,15,16,15,16,15,15,15,15,11,19,17,14,24,16,16,38,16,16,15,16,16,BACTERIAL_LEAF_BLIGHT
52,14,9,27,15,15,15,15,17,25,13,14,14,15,15,15,15,15,16,14,11,17,14,13,25,16,16,37,15,15,16,16,16,BACTERIAL_LEAF_BLIGHT
45,17,7,28,14,16,15,16,15,20,18,18,15,15,16,16,15,16,16,15,22,12,17,12,27,15,16,34,16,15,17,15,16,BACTERIAL_LEAF_BLIGHT
49,18,9,29,16,15,16,16,16,24,12,16,16,15,16,15,16,15,15,14,15,14,17,12,26,16,15,35,15,15,17,16,15,BACTERIAL_LEAF_BLIGHT
51,18,13,28,18,15,16,16,15,18,12,13,15,16,16,16,15,16,15,14,17,13,17,16,28,18,15,38,16,15,15,15,15,BACTERIAL_LEAF_BLIGHT
49,18,9,28,17,16,16,16,14,21,16,16,16,16,16,15,15,16,15,14,19,11,17,13,28,16,17,36,17,16,15,16,16,BACTERIAL_LEAF_BLIGHT
46,17,10,29,15,15,16,15,15,19,16,16,16,16,16,15,16,15,16,15,20,12,16,13,27,15,15,36,15,17,17,15,15,BACTERIAL_LEAF_BLIGHT
49,20,12,29,11,16,16,16,12,20,15,21,14,15,15,16,16,15,16,15,16,16,18,15,25,13,15,34,16,16,17,16,16,BACTERIAL_LEAF_BLIGHT
50,14,14,28,11,15,15,16,15,16,15,19,15,15,16,16,15,16,14,17,17,12,16,17,28,13,15,37,15,15,14,16,15,BACTERIAL_LEAF_BLIGHT
51,14,10,28,18,15,15,15,19,24,12,12,15,16,16,16,16,16,15,13,12,17,15,14,25,17,15,36,16,16,16,16,15,BACTERIAL_LEAF_BLIGHT
49,15,5,26,13,14,16,17,15,23,12,13,15,15,15,16,16,16,16,16,20,11,14,7,28,15,15,35,16,16,14,16,16,BACTERIAL_LEAF_BLIGHT
54,20,9,25,17,15,16,16,11,25,16,14,16,16,15,15,16,15,15,17,12,20,19,12,24,16,16,36,16,16,14,16,15,BACTERIAL_LEAF_BLIGHT
51,18,13,28,15,14,16,16,15,21,9,16,16,16,16,16,15,16,14,14,13,16,17,15,26,16,15,37,16,15,17,15,15,BACTERIAL_LEAF_BLIGHT
52,19,14,28,18,15,16,16,14,18,9,11,16,16,15,16,15,15,15,14,15,16,17,15,26,17,15,36,16,16,16,16,15,BACTERIAL_LEAF_BLIGHT
53,19,13,27,13,16,16,16,13,19,12,19,15,14,15,15,16,15,15,14,14,17,20,16,26,14,16,36,16,16,14,16,15,BACTERIAL_LEAF_BLIGHT
51,18,15,29,19,15,16,15,15,14,11,11,16,16,16,16,16,15,16,14,17,14,18,16,27,18,15,35,15,16,16,16,15,BACTERIAL_LEAF_BLIGHT
51,21,7,26,14,15,16,16,12,23,20,20,15,15,16,15,16,14,15,15,20,14,20,12,26,13,15,36,16,16,15,16,16,BACTERIAL_LEAF_BLIGHT
49,14,4,25,15,15,16,16,16,25,18,15,16,16,16,15,16,15,16,15,18,15,15,9,25,16,15,35,15,15,16,15,15,BACTERIAL_LEAF_BLIGHT
49,18,10,28,15,16,16,15,14,24,13,17,15,15,16,15,16,15,16,15,13,15,17,14,26,15,15,36,16,15,17,16,16,BACTERIAL_LEAF_BLIGHT
52,18,9,27,14,16,16,16,10,25,12,17,15,16,16,16,16,15,14,20,12,18,17,13,24,15,17,37,17,16,15,15,16,BACTERIAL_LEAF_BLIGHT
52,18,10,28,15,15,16,16,12,24,10,18,14,16,16,16,16,15,15,19,13,16,17,13,26,15,17,37,17,16,15,15,16,BACTERIAL_LEAF_BLIGHT
48,19,6,26,15,17,16,17,15,21,18,19,16,16,16,15,16,16,17,14,21,12,19,11,27,14,17,38,16,16,14,16,15,BACTERIAL_LEAF_BLIGHT
53,21,13,27,14,16,16,16,11,21,13,18,14,15,15,16,16,15,15,16,13,15,19,15,26,13,16,37,16,16,14,16,16,BACTERIAL_LEAF_BLIGHT
50,17,12,28,14,15,16,15,14,17,16,18,17,15,15,16,16,16,16,15,20,14,17,16,28,15,16,36,16,16,14,16,15,BACTERIAL_LEAF_BLIGHT
47,20,9,29,14,15,16,16,14,24,12,20,15,15,15,16,16,15,15,13,15,14,18,14,27,15,16,35,16,15,16,16,15,BACTERIAL_LEAF_BLIGHT
51,13,18,28,17,15,15,15,17,11,8,13,15,16,16,15,15,15,16,18,16,15,13,16,27,17,15,36,15,16,16,16,15,BACTERIAL_LEAF_BLIGHT
51,13,13,27,14,20,14,17,18,19,9,19,12,16,16,15,15,18,13,15,15,19,14,14,24,15,18,37,16,16,16,16,16,BACTERIAL_LEAF_BLIGHT
51,15,16,27,13,17,13,15,17,15,9,22,13,15,16,16,15,17,16,14,16,20,15,16,24,14,16,37,16,16,16,16,16,BACTERIAL_LEAF_BLIGHT
53,13,23,25,15,15,15,15,19,6,17,16,15,16,15,16,15,16,16,13,20,17,14,19,25,15,16,37,15,15,15,16,16,BACTERIAL_LEAF_BLIGHT
55,7,19,27,10,15,16,14,23,13,17,21,13,14,16,15,15,16,17,16,15,20,11,18,24,12,15,29,13,14,18,15,16,BACTERIAL_LEAF_BLIGHT
58,12,15,26,16,16,16,16,20,16,7,13,15,16,16,16,15,15,15,13,15,28,15,16,20,16,16,31,15,16,16,15,16,BACTERIAL_LEAF_BLIGHT
57,10,15,28,16,15,15,16,21,18,6,14,16,15,16,15,15,16,15,13,14,25,15,15,24,16,16,32,16,16,15,16,15,BACTERIAL_LEAF_BLIGHT
53,11,16,28,17,15,15,16,18,16,10,14,15,16,15,15,16,16,15,18,14,15,13,15,25,16,15,37,15,15,15,15,15,BACTERIAL_LEAF_BLIGHT
50,10,16,28,18,16,15,17,19,18,14,12,14,15,15,16,16,16,16,19,13,14,12,15,26,18,16,38,14,16,15,15,16,BACTERIAL_LEAF_BLIGHT
51,12,19,27,21,15,15,16,16,13,13,10,14,16,16,15,15,16,17,17,14,12,14,17,27,20,15,40,15,16,12,15,16,BACTERIAL_LEAF_BLIGHT
50,14,21,28,16,16,16,15,16,9,15,16,16,16,15,16,15,15,16,17,16,13,14,19,27,16,15,36,16,15,16,15,16,BACTERIAL_LEAF_BLIGHT
48,19,22,28,13,15,16,14,16,9,12,17,16,16,16,15,15,15,18,11,13,15,19,18,26,14,15,36,16,16,16,15,15,BACTERIAL_LEAF_BLIGHT
52,11,20,28,18,15,15,16,18,8,9,13,15,16,15,15,16,16,16,17,18,18,14,18,24,16,15,36,15,15,17,16,16,BACTERIAL_LEAF_BLIGHT
50,15,25,27,16,14,15,16,16,6,16,16,16,15,16,16,15,16,16,16,11,13,15,22,26,16,15,37,15,15,14,16,15,BACTERIAL_LEAF_BLIGHT
52,13,21,28,16,15,16,16,16,7,12,16,16,16,16,15,15,15,15,16,17,13,14,19,28,15,15,37,15,15,15,16,15,BACTERIAL_LEAF_BLIGHT
55,12,18,25,16,16,14,15,18,9,11,13,15,16,15,15,16,17,16,16,20,19,14,17,24,16,16,38,15,16,15,16,16,BACTERIAL_LEAF_BLIGHT
52,17,22,27,15,15,16,16,14,6,13,14,14,15,15,16,16,16,15,17,20,17,17,18,25,16,16,36,16,16,16,16,16,BACTERIAL_LEAF_BLIGHT
45,14,24,29,14,16,16,16,16,11,18,18,15,15,16,15,16,15,15,16,9,12,14,19,27,15,16,34,15,16,17,15,16,BACTERIAL_LEAF_BLIGHT
49,13,22,29,16,15,15,15,15,7,12,16,16,15,16,16,16,16,16,17,16,14,14,19,26,16,15,35,16,16,17,16,15,BACTERIAL_LEAF_BLIGHT
51,13,18,28,18,15,16,15,16,14,12,13,15,16,16,15,16,15,17,17,14,13,14,15,28,18,15,38,15,16,15,15,15,BACTERIAL_LEAF_BLIGHT
49,13,22,28,16,16,15,15,17,10,16,16,16,16,16,16,16,15,16,17,12,11,14,18,28,16,17,36,14,16,15,16,16,BACTERIAL_LEAF_BLIGHT
46,14,21,29,15,15,15,16,16,12,16,16,16,16,16,16,15,16,15,17,11,12,15,18,27,15,15,36,16,15,17,15,15,BACTERIAL_LEAF_BLIGHT
49,11,19,29,11,16,15,15,19,11,15,21,14,15,15,15,15,16,15,16,16,16,13,16,25,13,15,34,15,15,17,16,16,BACTERIAL_LEAF_BLIGHT
50,17,17,28,11,15,16,15,16,15,15,19,15,15,16,16,16,15,17,14,15,12,15,14,28,13,15,37,16,16,14,16,15,BACTERIAL_LEAF_BLIGHT
51,17,21,28,18,15,16,16,12,7,12,12,15,16,16,15,15,15,16,18,19,17,16,17,25,17,15,36,15,15,16,16,15,BACTERIAL_LEAF_BLIGHT
49,16,26,26,13,14,15,15,16,8,12,13,15,15,15,15,15,15,15,15,11,12,18,24,28,15,15,35,15,16,14,16,16,BACTERIAL_LEAF_BLIGHT
54,11,22,25,17,15,15,15,20,6,16,14,16,16,16,16,15,16,16,14,19,20,12,19,24,16,16,36,15,15,14,16,15,BACTERIAL_LEAF_BLIGHT
51,13,18,28,15,15,15,15,16,11,9,16,16,16,16,15,16,15,17,17,18,16,14,16,26,16,15,37,16,16,17,15,15,BACTERIAL_LEAF_BLIGHT
52,12,17,28,18,15,15,15,17,13,9,11,16,16,15,15,16,16,16,17,16,16,14,16,26,18,15,36,16,16,16,16,15,BACTERIAL_LEAF_BLIGHT
53,12,18,27,13,16,15,15,18,12,12,19,15,14,15,16,15,16,16,17,17,17,11,15,26,14,16,36,15,15,14,16,15,BACTERIAL_LEAF_BLIGHT
51,13,15,29,19,15,15,16,16,17,11,11,16,16,16,15,15,16,15,17,14,14,13,15,27,18,15,35,16,15,16,16,15,BACTERIAL_LEAF_BLIGHT
51,10,24,26,14,15,15,15,19,8,20,20,15,15,16,16,15,17,16,16,12,14,11,19,26,13,16,36,16,15,15,16,16,BACTERIAL_LEAF_BLIGHT
49,17,27,25,15,15,15,15,15,6,18,15,16,16,16,16,15,16,15,17,13,15,16,22,25,16,15,35,16,16,16,15,15,BACTERIAL_LEAF_BLIGHT
49,13,21,28,15,16,15,16,17,7,13,17,15,15,16,16,15,16,15,16,18,15,14,17,26,15,15,36,15,16,17,16,16,BACTERIAL_LEAF_BLIGHT
52,13,22,27,14,16,15,15,21,7,12,17,14,16,16,15,15,16,17,11,19,18,14,18,24,15,17,37,15,16,15,15,16,BACTERIAL_LEAF_BLIGHT
